order_book_id,board_type,sector_code,month,date,yield_rate,ep_ratio_ttm,pb_ratio_ttm,sp_ratio_ttm,MACD_DIFF,MACD_DEA,MACD_HIST,RSI10,SY,BIAS20,VOL30,VOL60,VOL120,VOLT20,VOLT60,AR,BR
600104.XSHG,MainBoard,ConsumerDiscretionary,0,2012-01-04,1.242812566610897,-0.6223004191058841,2.390352567481807,-1.2643592734993567,-0.21594253472623792,-0.6227301136923777,1.021909797878744,0.43828541402941495,0.37321988655220223,0.9827621395983958,0.1873159304465347,0.06446672255402672,-0.19229935529735767,-0.6692552620494723,-0.21735875597961546,-0.2888434230877519,-0.2693303510883764
600104.XSHG,MainBoard,ConsumerDiscretionary,1,2012-01-05,0.9322454607683591,-0.7079065101923969,2.5079848120626336,-1.3469124146189202,-0.0774316557589992,-0.5134968418666307,1.1317058228701924,0.548329279645484,1.1585709840989054,1.2344233426234836,0.2733588194926748,0.0919475355673766,-0.17323460775363544,-0.6292083709692543,-0.21744509029334852,0.07922418045108881,-0.05601617851723491
600104.XSHG,MainBoard,ConsumerDiscretionary,2,2012-01-06,1.0787515026476737,-0.6373876407927773,2.410810349148037,-1.2789084431345124,-0.00606946308815268,-0.41056510799833046,1.0652243443491576,0.5624091640815987,0.37321988655220223,0.8577322900828571,0.25008357485509497,0.08113925016036075,-0.1790583924623763,-0.6028243010909414,-0.22577955273698078,-0.010321310873376335,-0.26387740563597506
600104.XSHG,MainBoard,ConsumerDiscretionary,3,2012-01-09,0.6952434855995393,-0.8883013007936129,2.768821528307078,-1.5208738280735583,0.19018655003821366,-0.2854684760837671,1.299064908879933,1.0196983452356225,0.37321988655220223,1.8610419719826212,0.2879027757590864,0.10143685618708205,-0.17307092844185543,-0.4666700881506613,-0.2422204945610135,0.6807009613201297,0.3701853781427618
600104.XSHG,MainBoard,ConsumerDiscretionary,4,2012-01-10,0.18893413133793877,-1.0051201195480999,2.9478271178865976,-1.63352656466813,0.41193287073226714,-0.13708726845557642,1.5447181177673817,1.0092075934326779,1.1585709840989054,2.2570439336985624,0.36340260702754407,0.13175770801036285,-0.1652235900090982,-0.29953601378775874,-0.2565541469673934,0.8053173825321686,0.2010876179146212
600104.XSHG,MainBoard,ConsumerDiscretionary,5,2012-01-11,0.15758326653115906,-0.9557180268487095,2.8711104366382307,-1.5858862872246353,0.5509454343740285,0.011899369258585429,1.55110542948843,0.8532254000336282,1.1585709840989054,1.8488875027836744,0.3543966725749581,0.14388945364039737,-0.16352529045914732,-0.22723602954056946,-0.27517701722662885,1.1061430723779526,0.35914447634418223
600104.XSHG,MainBoard,ConsumerDiscretionary,6,2012-01-12,-0.19251850916515162,-1.0181303065942877,2.9682848995528293,-1.6460727724622752,0.6916747991900349,0.16174432881747358,1.5601607594205888,1.7195461493728554,1.9439220816456104,1.9252484753335306,0.36350702176611716,0.1580679630666178,-0.17366710123678325,-0.21295646528982062,-0.27680819972869775,1.6611114997747483,0.6373250807832499
600104.XSHG,MainBoard,ConsumerDiscretionary,7,2012-01-13,0.19733439034949432,-0.8155380474509609,2.661418174559366,-1.4507055135847682,0.673864602713609,0.27774062899490304,1.2030560435837574,1.0441462062828513,1.1585709840989054,0.8391375649367789,0.3536992059375946,0.16412317391328093,-0.17779059381880166,-0.3020014355748296,-0.28017036100099224,1.0500601203040325,0.33184219174708385
600104.XSHG,MainBoard,ConsumerDiscretionary,8,2012-01-16,0.5891813800945963,-0.7079065101923969,2.5079848120626336,-1.3469124146189202,0.5921521277317405,0.35273790867527266,0.770514730818709,0.37886404388363865,0.37321988655220223,0.2626556684657678,0.29815440815874705,0.16460311247045323,-0.1832027408152945,-0.4096271512576953,-0.282324673107153,0.7981438330105651,0.059345702354305974
600104.XSHG,MainBoard,ConsumerDiscretionary,9,2012-01-17,-0.07641820647642787,-1.0310725996441488,2.988742681219059,-1.6585535075477742,0.7097458362528923,0.43835164778536156,0.8825188041592963,0.789170313316817,0.37321988655220223,1.568057561387499,0.32408006252732774,0.1924421274900492,-0.1750288945050124,-0.33999220030538935,-0.27809321645636564,1.3441979055243427,0.4348772810517308
600104.XSHG,MainBoard,ConsumerDiscretionary,10,2012-01-18,0.5389180327186898,-0.9920415028527543,2.9273693362203663,-1.6209143676153703,0.7697741368513993,0.5199188477160578,0.8398276533077418,0.6670623835942864,-0.4121312109945018,1.2655079278388637,0.3216339928986786,0.2045972096572431,-0.17319292912245005,-0.3048401274201555,-0.28058658273052306,1.0936446005453573,0.4420993026754168
600104.XSHG,MainBoard,ConsumerDiscretionary,11,2012-01-19,0.34946247785864587,-1.0726725283233338,3.0552304716343097,-1.6986698677182905,0.8581488025678251,0.6044236202015363,0.8708191617333704,0.677227284555147,0.37321988655220223,1.5129932163401527,0.3113973692705143,0.2051556720870259,-0.17053413199286604,-0.24469377909583842,-0.28667594683122144,1.3842383753178216,0.7777965774517438
600104.XSHG,MainBoard,ConsumerDiscretionary,12,2012-01-20,0.364376710548444,-1.091637444262625,3.0859171441336546,-1.7169584423043531,0.9296574867900816,0.6876044654475089,0.8568516761877798,0.8863658946179741,0.37321988655220223,1.4519463192738262,0.2811600427462396,0.1777039845882448,-0.16868057600712977,-0.21731457300853585,-0.3045155796068899,1.7846157169762786,1.2670930358837966
